x y z u v
6.779388 5.557654 0.000000 0.997346 0.072813
5.326635 4.691970 0.000000 0.997848 -0.065576
5.226272 4.673158 0.000000 0.999127 -0.041774
0.847886 2.458477 0.000000 0.981316 -0.192403
0.961192 2.488753 0.000000 0.591367 -0.806403
0.889919 3.690658 0.000000 0.922076 0.387009
0.634892 3.382769 0.000000 0.890300 0.455375
0.594744 3.901496 0.000000 0.939150 0.343508
0.322365 5.136392 0.000000 0.999642 -0.026752
0.311808 5.275858 0.000000 0.998859 -0.047765
4.479600 3.254962 0.000000 0.761257 -0.648450
3.990898 3.395167 0.000000 0.419593 -0.907712
8.849537 3.424471 0.000000 0.815386 -0.578917
7.327783 0.973869 0.000000 0.933697 0.358063
7.016359 0.898119 0.000000 0.944915 0.327316
7.726633 0.960823 0.000000 0.991801 -0.127793
7.918352 1.147343 0.000000 0.999405 -0.034484
8.373001 1.248913 0.000000 0.999865 0.016457
8.156019 0.986081 0.000000 0.997836 -0.065744
4.194895 1.263876 0.000000 0.999950 0.010012
4.092994 0.667440 0.000000 0.999267 0.038288
5.862021 0.937092 0.000000 0.982174 0.187974
5.593409 1.043632 0.000000 0.987921 0.154960
6.160187 1.378051 0.000000 0.998821 -0.048547
6.045847 1.418782 0.000000 0.998955 0.045696
8.353198 0.585518 0.000000 0.993891 -0.110367
8.718528 0.657967 0.000000 0.997570 -0.069667
8.099183 0.754129 0.000000 0.992046 -0.125873
8.274969 0.799189 0.000000 0.993980 -0.109558
1.325386 5.655489 0.000000 0.999754 -0.022197
1.288318 5.933193 0.000000 0.999972 -0.007417
7.420369 0.606372 0.000000 0.997393 -0.072156
7.473373 0.246473 0.000000 0.996212 -0.086955
0.826767 0.135874 0.000000 0.999744 0.022607
0.765945 0.222866 0.000000 0.999808 0.019583
0.438775 0.061074 0.000000 0.999345 0.036185
8.402875 5.173746 0.000000 0.992496 0.122278
8.046671 4.717598 0.000000 0.999431 -0.033731
8.064133 4.178946 0.000000 0.917343 -0.398098
8.356141 4.372176 0.000000 0.947868 -0.318665
8.418496 4.738729 0.000000 0.999616 -0.027710
8.712036 4.818707 0.000000 0.998767 -0.049641
1.999004 0.369101 0.000000 0.999938 0.011145
1.423171 0.549709 0.000000 0.999227 0.039309
8.304846 5.194866 0.000000 0.997514 0.070471
